H,W,N,aco24-Nam,aco24-Q-best,dp,Jovanovic18,Aco-Dương
5,3,9, 4.5, 4.575, 4.65, 4.575, 4.55
5,4,12, 6.175, 6.175, 6.35, 6.175, 6.12
6,4,16, 10.2, 10.2, 10.775, 10.225, 10.03
7,4,20, 15.425, 15.425, 16.35, 15.425, 15.15
5,5,15, 7.025, 7.025, 7.15, 7.025, 7.00
6,5,20, 12.95, 12.95, 13.625, 12.95, 12.70
7,5,25, 18.875, 18.9, 20.625, 18.9, 18.30
5,6,18, 8.4, 8.4, 8.55, 8.4, 8.40
6,6,24, 14.025, 14.025, 14.725, 14.05, 13.82
7,6,30, 22.1, 22.125, 24.05, 22.125, 21.77
8,6,36, 30.95, 30.95, 34.425, 31.075, 29.85
12,6,60, 77.775, 77.525, 92.85, 80.65, 72.85
5,7,21, 9.275, 9.275, 9.4, 9.275, 9.22
6,7,28, 16.125, 16.125, 17.1, 16.125, 15.82
7,7,35, 24.275, 24.275, 26.175, 24.4, 23.55
5,8,24, 10.65, 10.65, 10.875, 10.65, 10.55
7,8,40, 27.725, 27.775, 29.3, 27.7, 27.00
7,9,45, 30.525, 30.55, 32.725, 30.55, 29.88
7,10,50, 33.4, 33.4, 35.6, 33.4, 32.52
8,10,60, 46.025, 45.975, 49.625, 45.925, 44.67
12,10,100, 112.8, 112.225, 130.525, 116.2, 106.78
